		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
26/06/12	8:20 p	25.8	25.9	25.7	35	9.2	1.3	SW	0.80	5.8	WNW	25.8	25.2	25.2	23.4	837.2	0.00	0.0	0	0.00	0	1.0	0.07	1.1	0.000	0.052	28.3	36	11.8	27.7	0.00	228	1	100.0	10
26/06/12	8:30 p	25.6	25.9	25.4	36	9.4	0.9	SSW	0.54	3.1	SSW	25.6	24.9	24.9	23.2	837.2	0.00	0.0	0	0.00	0	0.9	0.06	1.0	0.000	0.050	28.3	36	11.8	27.7	0.00	228	1	100.0	10
26/06/12	8:40 p	25.5	25.6	25.4	37	9.7	0.0	---	0.00	0.0	---	25.5	24.9	24.9	23.2	837.2	0.00	0.0	0	0.00	0	1.0	0.07	1.0	0.000	0.050	28.2	35	11.3	27.5	0.00	228	1	100.0	10
26/06/12	8:50 p	25.7	25.7	25.6	37	9.9	0.0	---	0.00	0.0	---	25.7	25.1	25.1	23.3	836.8	0.00	0.0	0	0.00	0	1.0	0.07	1.0	0.000	0.051	28.1	35	11.2	27.4	0.00	212	1	93.0	10
26/06/12	9:00 p	25.7	25.7	25.6	36	9.5	0.0	S	0.00	1.3	S	25.7	25.0	25.0	23.3	836.8	0.00	0.0	0	0.00	0	1.0	0.07	1.0	0.000	0.051	27.9	35	11.1	27.2	0.03	175	1	76.8	10
26/06/12	9:10 p	25.7	25.7	25.6	37	9.9	0.0	---	0.00	0.0	---	25.7	25.1	25.1	23.3	836.8	0.00	0.0	0	0.00	0	1.0	0.07	1.0	0.000	0.051	27.9	35	11.0	27.2	0.00	228	1	100.0	10
26/06/12	9:20 p	25.7	25.7	25.6	37	9.9	0.0	---	0.00	0.0	---	25.7	25.1	25.1	23.4	837.1	0.00	0.0	0	0.00	0	1.0	0.07	1.0	0.000	0.051	27.8	35	11.0	27.1	0.00	190	1	83.3	10
26/06/12	9:30 p	25.7	25.8	25.5	39	10.7	0.9	SSW	0.54	3.6	S	25.7	25.1	25.1	23.4	837.5	0.00	0.0	0	0.00	0	1.0	0.07	1.0	0.000	0.051	27.8	36	11.3	27.1	0.00	228	1	100.0	10
26/06/12	9:40 p	25.0	25.5	24.5	47	12.9	2.2	S	1.34	5.4	SSE	25.0	24.8	24.8	23.2	837.5	0.00	0.0	0	0.00	0	0.9	0.06	1.0	0.000	0.046	27.8	36	11.4	27.2	0.00	228	1	100.0	10
26/06/12	9:50 p	24.2	24.5	23.9	51	13.4	1.8	S	1.07	4.9	S	24.2	24.3	24.3	22.8	837.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.041	27.8	38	12.2	27.3	0.00	228	1	100.0	10
